lambda,p,avg_N,total_N,total_time,prop_sparsity,N_1,N_2,N_3,N_4,N_5
3.7248345986913867,0.2969136481642438,4.4,22,11.33903,0.13333333333333333,3,6,7,2,4
3.7248345986913867,0.2969136481642438,4.4,22,11.33903,0.13333333333333333,3,6,7,2,4
3.7248345986913867,0.2969136481642438,4.4,22,11.33903,0.13333333333333333,3,6,7,2,4
3.7248345986913867,0.2969136481642438,4.4,22,11.33903,0.13333333333333333,3,6,7,2,4
3.7248345986913867,0.2969136481642438,4.4,22,11.33903,0.13333333333333333,3,6,7,2,4
3.7248345986913867,0.2969136481642438,4.4,22,11.33903,0.13333333333333333,3,6,7,2,4
3.7248345986913867,0.2969136481642438,4.4,22,11.33903,0.13333333333333333,3,6,7,2,4
3.7248345986913867,0.2969136481642438,4.4,22,11.33903,0.13333333333333333,3,6,7,2,4
3.7248345986913867,0.2969136481642438,4.4,22,11.33903,0.13333333333333333,3,6,7,2,4
3.7248345986913867,0.2969136481642438,4.4,22,11.33903,0.13333333333333333,3,6,7,2,4
3.7248345986913867,0.2969136481642438,4.4,22,11.33903,0.13333333333333333,3,6,7,2,4
3.7248345986913867,0.2969136481642438,4.4,22,11.33903,0.13333333333333333,3,6,7,2,4
3.7248345986913867,0.2969136481642438,4.4,22,11.33903,0.13333333333333333,3,6,7,2,4
3.7248345986913867,0.2969136481642438,4.4,22,11.33903,0.13333333333333333,3,6,7,2,4
3.7248345986913867,0.2969136481642438,4.4,22,11.33903,0.13333333333333333,3,6,7,2,4
