lambda,p,avg_N,total_N,total_time,prop_sparsity,N_1,N_2,N_3,N_4,N_5
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
4.165956150048014,0.33992264376352543,3.6,18.0,25.5103,0.13333333333333333,4.0,5.0,4.0,2.0,3.0
2.7293953961963027,0.38703849007543617,3.4,17.0,25.5103,0.13333333333333333,3.0,5.0,3.0,1.0,5.0
2.7293953961963027,0.38703849007543617,3.4,17.0,25.5103,0.13333333333333333,3.0,5.0,3.0,1.0,5.0
2.7293953961963027,0.38703849007543617,3.4,17.0,25.5103,0.13333333333333333,3.0,5.0,3.0,1.0,5.0
2.7293953961963027,0.38703849007543617,3.4,17.0,25.5103,0.13333333333333333,3.0,5.0,3.0,1.0,5.0
2.7293953961963027,0.38703849007543617,3.4,17.0,25.5103,0.13333333333333333,3.0,5.0,3.0,1.0,5.0
2.7293953961963027,0.38703849007543617,3.4,17.0,25.5103,0.13333333333333333,3.0,5.0,3.0,1.0,5.0
2.6621940355474463,0.45081044739860776,2.8,14.0,25.5103,0.13333333333333333,4.0,4.0,3.0,1.0,2.0
2.6621940355474463,0.45081044739860776,2.8,14.0,25.5103,0.13333333333333333,4.0,4.0,3.0,1.0,2.0
2.6621940355474463,0.45081044739860776,2.8,14.0,25.5103,0.13333333333333333,4.0,4.0,3.0,1.0,2.0
2.6621940355474463,0.45081044739860776,2.8,14.0,25.5103,0.13333333333333333,4.0,4.0,3.0,1.0,2.0
2.6621940355474463,0.45081044739860776,2.8,14.0,25.5103,0.13333333333333333,4.0,4.0,3.0,1.0,2.0
2.6621940355474463,0.45081044739860776,2.8,14.0,25.5103,0.13333333333333333,4.0,4.0,3.0,1.0,2.0
2.6621940355474463,0.45081044739860776,2.8,14.0,25.5103,0.13333333333333333,4.0,4.0,3.0,1.0,2.0
2.6621940355474463,0.45081044739860776,2.8,14.0,25.5103,0.13333333333333333,4.0,4.0,3.0,1.0,2.0
2.6621940355474463,0.45081044739860776,2.8,14.0,25.5103,0.13333333333333333,4.0,4.0,3.0,1.0,2.0
